recipe_urls,recipe_name,subheading,serves,cooking_time,difficulty,ingredients,diet,tags,description,image_url
https://www.jamieoliver.com/recipes/swiss-chard-recipes/cheesy-spring-chard-cannelloni/,Cheesy spring chard cannelloni,Rich tomato & oozy cheese sauce,6                                                                                                            ,1 hour 30 minutes                                                    ,"Not too tricky                                                    
","['2 sprigs of oregano', 'olive oil', '2 small onions', '4 cloves of garlic', '1 kg of rainbow or Swiss chard , or other seasonal greens, such as rocket, kale, spinach', '1 whole nutmeg , for grating', '½ a lemon', 'TOMATO SAUCE', '2 cloves of garlic', '1 dried red chilli', '1 bunch of basil (30g)', '3 x 400g tins of quality plum tomatoes', '250 g dried cannelloni tubes', 'OOZY CHEESE SAUCE', '250 g ricotta cheese', '60 g Cheddar cheese', '60 g Parmesan cheese , plus extra for grating', '1 large free-range egg', '200 ml semi-skimmed milk']","['Vegetarianv', 'Vegetarianv']","['British', 'Tomato', 'Pasta bake', 'Beautiful baking recipes', 'Lunch & dinner recipes', 'Mains']","
                                            “You can’t beat the comfort of baked pasta and here, I’m celebrating the delicious iron-y punch of spring chard as a filling. It contrasts beautifully with the sweet lightness of the tomato base and the creamy ooze of the cheesy topping. It’s springtime in a dish, and might just succeed in putting a bit of spring in your step! ”
                                        ","https://img.jamieoliver.com/jamieoliver/recipe-database/157443868.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/risotto-recipes/spinach-goat-s-cheese-risotto/,Spinach & goat's cheese risotto,"Oozy, tangy & delicious",4                                                                                                            ,40 minutes                                                    ,"Not too tricky                                                    
","['1.2 litres quality chicken stock', '2 small onions', '1 celery heart', 'olive oil', '300 g risotto rice', '125 ml dry white wine', '300 g baby spinach', '60 g Parmesan cheese', '1 knob of unsalted butter', ""50 g soft goat's cheese"", 'extra virgin olive oil']",[],"['Italian', 'Spinach', 'Light meals', 'Lunch & dinner recipes', 'Mains', 'Pasta & risotto']","
                                            “A beautifully silky risotto bianco (or white risotto) is the grandmother of all risottos and the perfect base to celebrate gorgeous spring veg at its best. It allows you to build different flavours, whether that’s from little popping spring peas, asparagus or broad beans, or in this case gorgeous leafy spinach, which I’m pairing with the tang of goat’s cheese.  ”
                                        ","https://img.jamieoliver.com/jamieoliver/recipe-database/157443865.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/chicken-breast-recipes/air-fryer-chicken-mushroom-pastry-parcels/,Air-fryer chicken & mushroom pastry parcels,With roasted carrots & mustard sauce,4                                                                                                            ,"55 minutes (15 minutes PREP, 40 minutes COOK)                                                    ","Not too tricky                                                    
","['400 g baby carrots', 'olive oil', '250 g mixed mushrooms', '2 cloves of garlic', '½ a bunch of flat-leaf parsley (15g)', '1 knob of unsalted butter', '½ a lemon', '4 x 150 g skinless free-range chicken breasts', '1 x 320 g sheet of puff pastry', '1 free-range egg', '1 heaped tablespoon wholegrain mustard', '150 ml white wine', '150 ml single cream', 'optional: extra virgin olive oil', '80 g watercress']",[],"['British', 'Chicken breast', 'Chicken', 'Mushroom', 'Lunch & dinner recipes', 'Mains']","
                                            “In the Oliver household one of our favourite dinners – one that everyone absolutely loves – is a beautiful chicken breast, stuffed with garlicky mushrooms, parsley and butter, all wrapped in golden pastry and served with a white wine sauce. It’s an absolute cracker of a recipe because it’s easy enough for weekdays, but impressive enough if you want something fancy at the weekend. I vividly remember eating (and loving) it as a child – it’s definitely one that has stood the test of time.  ”
                                        ","https://img.jamieoliver.com/jamieoliver/recipe-database/157482622.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/turkey-recipes/ultimate-roast-turkey/,Ultimate roast turkey,With mulled wine gravy,10 with leftovers                                                                                                            ,3 hours 40 minutes plus cooling and resting                                                    ,"Not too tricky                                                    
","['1 x 5.5 kg free-range turkey with giblets', '1 kg pork stuffing', 'olive oil', '1 clementine', '1 clove', '1 bay leaf', '1 bunch of mixed woody herbs, such as rosemary, sage, thyme', '250 ml red wine', '1 heaped tablespoon plain flour', '1.5 litres quality chicken , turkey or veg stock', 'TRIVET', '2 sticks of celery', '2 carrots', '2 onions', '1 clementine', '2 bay leaves', '1 star anise', '½ a cinnamon stick']","['Dairy-freedf', 'Dairy-freedf']","['Christmas', 'Thanksgiving', 'British', 'Turkey', 'Pork', 'Fruit']","
                                            “This is my ultimate guide to the most delicious, juicy turkey. It’s only once a year that we invest in this amazing bird, so it’s important to get it right. Technically, it’s one of the hardest meats to cook – so I’ve perfected the timings for cooking and resting, with a few nifty shortcuts to guarantee maximum flavour.  ”
                                        ","https://img.jamieoliver.com/jamieoliver/recipe-database/154548714.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/pasta-recipes/veggie-pasta-bake/,Veggie pasta bake,With sweet leeks & garlicky crumb topping,8                                                                                                            ,1 hour                                                    ,"Not too tricky                                                    
","['½ x 170g loaf of garlic bread', 'olive oil', '2 cloves of garlic', '2 leeks', '1 bunch of fresh basil , (30g)', '2 teaspoons dried oregano', '3 x 400g tins of plum tomatoes', '500 g dried pasta , such as orecchiette, conchiglie or gemelli', '50 g Parmesan cheese , plus extra to serve', '8 cubes of frozen spinach']","['Vegetarianv', 'Vegetarianv']","['Tomato', 'Spinach', 'Leek', 'Bread', 'Mains', 'Pasta Bake']","
                                            “When it comes to family favourites, it’s pretty hard to beat a good pasta bake. Especially when it has a deliciously crunchy garlic-breadcrumb topping! This is my brilliant veggie principle recipe – with leeks, spinach and tomato, offering you two of your 5-a-day – that you can flex to suit the ingredients you have in.  ”
                                        ","https://img.jamieoliver.com/jamieoliver/recipe-database/152866409.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/rice-recipes/magic-baked-chicken-fried-rice/,Magic baked chicken fried rice,Just put it all in a pan – even the uncooked rice – and bake!,4 as a main                                                                                                            ,"55 minutes (10 MINUTES PREP, 45 MINUTES COOK)                                                    ","Not too tricky                                                    
","['BAKED FRIED RICE', '1½ cups (300g) long-grain white rice , uncooked', '1½ cups (375ml) low-salt chicken stock', '1½ tablespoons light soy sauce', '1 tablespoon Chinese cooking wine', '2 cloves of garlic , finely minced', '¼ teaspoon white pepper', '2 cups (270g) frozen diced vegetables , (carrots, peas and corn mix) still frozen', '¾ cup (100g) chopped bacon or ham , I use store-bought chopped bacon', 'MARINATED CHICKEN', '500 g chicken thigh fillets , cut into 1.5cm pieces', '1 tablespoon oyster sauce', '1 tablespoon Chinese cooking wine', '1 tablespoon light soy sauce', '2 teaspoons sesame oil', '1 clove of garlic', 'TO FINISH', '2 eggs , scrambled (optional)', '2 teaspoons sesame oil', '1 green onion stem , finely sliced']",[],"['Chicken', 'Pork', 'Lunch & dinner recipes', 'Chicken thighs', 'Mains']","
                                            “Sometimes after a long day, even I don’t have the energy to deal with the hassle of chopping vegetables, pulling out woks and smoking out my kitchen – let alone remembering to cook rice the day before! So I published a ‘dump and bake’ fried rice on my website – albeit with some trepidation – convinced it would be slammed as an abomination. To my total surprise, the recipe was a smash hit and had 100,000 views in 24 hours! Truth is, it’s delicious – the flavour is fantastic, the rice is fluffy and moist. The most asked question I get is, ‘How can I add chicken to this?’ Well, here’s how! ”
                                        ","https://img.jamieoliver.com/jamieoliver/recipe-database/152742682.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/chicken-recipes/air-fryer-bbq-chicken-thighs/,Air-fryer BBQ chicken thighs,With corn on the cob,2                                                                                                            ,"40 minutes (10 MINUTES PREP, 30 MINUTES COOK)                                                    ","Super easy                                                    
","['4 medium free-range chicken thighs , bone in, skin removed', '2 teaspoons BBQ seasoning', '1 handful of fine breadcrumbs', 'olive oil', '4 small corn on the cob', 'a few sprigs of coriander , (optional)', '1 lime , (optional)']","['Dairy-freedf', 'Dairy-freedf']","['Dinner for two', 'Chicken', 'Chicken thighs', 'Lunch & dinner recipes', 'Mains']",,"https://img.jamieoliver.com/jamieoliver/recipe-database/152315746.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/vegetable-recipes/air-fryer-baked-potato-skins/,Air-fryer baked potato skins,"Stuffed with goat’s cheese, spinach & red pepper",2                                                                                                            ,"1 hour (10 MINUTES PREP, 50 MINUTES COOK)                                                    ","Super easy                                                    
","['160 g frozen leaf spinach', '2 baking potatoes , (250g each)', 'olive oil', '1 long red pepper', '60 g crumbly goat’s cheese', '2 heaped teaspoons pesto', 'Parmesan cheese , for grating (optional)']","['Vegetarianv', 'Gluten-freegf', 'Vegetarianv', 'Gluten-freegf']","['Dinner for two', 'British', 'Potato', 'Mains', 'Lunch & dinner recipes']",,"https://img.jamieoliver.com/jamieoliver/recipe-database/152580630.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/fish-recipes/air-fryer-salmon-with-crispy-potatoes/,Air-fryer salmon with crispy potatoes,"Tender asparagus, thyme & lemon",2                                                                                                            ,"50 minutes (10 MINUTES PREP, 35 MINUTES COOK)                                                    ","Not too tricky                                                    
","['400 g new potatoes', 'olive oil', '1 bunch of fresh thyme , (20g)', '2 x 150g salmon fillets , skin on, scaled, pin-boned, from sustainable sources', '200 g asparagus', '1 lemon']","['Dairy-freedf', 'Gluten-freegf', 'Dairy-freedf', 'Gluten-freegf']","['Dinner for two', 'British', 'Salmon', 'Potato', 'Light meals', 'Lunch & dinner recipes']",,"https://img.jamieoliver.com/jamieoliver/recipe-database/152315753.jpg?tr=w-800,h-1066"
https://www.jamieoliver.com/recipes/chicken-recipes/garlic-chicken/,Garlic chicken,"Creamy chickpeas, spinach & sumac",2                                                                                                            ,18 minutes                                                    ,"Not too tricky                                                    
","['4 cloves of garlic', '2 x 150g skinless free-range chicken breasts', '½ x 700g jar of chickpeas', '250 g baby spinach', '1 heaped teaspoon sumac']","['Gluten-freegf', 'Dairy-freedf', 'Gluten-freegf', 'Dairy-freedf']","['Chicken', 'Dinner for two', 'Chicken breast', 'Spinach', 'Lunch & dinner recipes', 'Mains']","
                                            “Inspired by some of the wonderful flavours of Lebanon, this quick dish is perfect for an easy meal. Hunting out nice fat jarred chickpeas is game-changing when it comes to both flavour and texture. ”
                                        ","https://img.jamieoliver.com/jamieoliver/recipe-database/152012102.jpg?tr=w-800,h-1066"
